# packages in environment at /home/pmuench/anaconda3/envs/ommpipeline:
#
# Name                    Version                   Build  Channel
_libgcc_mutex             0.1                 conda_forge    conda-forge
_openmp_mutex             4.5                       1_gnu    conda-forge
_r-mutex                  1.0.1               anacondar_1    conda-forge
_sysroot_linux-64_curr_repodata_hack 3                   ha9d2b57_10    conda-forge
aioeasywebdav             2.4.0           py37h89c1867_1001    conda-forge
aiohttp                   3.7.4            py37h5e8e339_0    conda-forge
alsa-lib                  1.2.3                h516909a_0    conda-forge
appdirs                   1.4.4              pyh9f0ad1d_0    conda-forge
asteval                   0.9.23             pyhd8ed1ab_0    conda-forge
async-timeout             3.0.1                   py_1000    conda-forge
attrs                     20.3.0             pyhd3deb0d_0    conda-forge
backports                 1.0                        py_2    conda-forge
backports.functools_lru_cache 1.6.1                      py_0    conda-forge
bcbio-gff                 0.6.6              pyh864c0ab_1    bioconda
bcftools                  1.8                  h4da6232_3    bioconda
bcrypt                    3.2.0            py37h5e8e339_1    conda-forge
binutils                  2.35.1               hdd6e379_2    conda-forge
binutils_impl_linux-64    2.35.1               h193b22a_2    conda-forge
binutils_linux-64         2.35                h67ddf6f_30    conda-forge
biom-format               2.1.10           py37ha21ca33_0    conda-forge
biopython                 1.78             py37h5e8e339_2    conda-forge
blast                     2.10.1          pl526he19e7b1_3    bioconda
boost                     1.70.0           py37h9de70de_1    conda-forge
boost-cpp                 1.70.0               h7b93d67_3    conda-forge
boto3                     1.17.30            pyhd8ed1ab_0    conda-forge
botocore                  1.20.30            pyhd8ed1ab_0    conda-forge
bowtie2                   2.4.2            py37h8270d21_1    bioconda
brotlipy                  0.7.0           py37h5e8e339_1001    conda-forge
bwa                       0.7.17               hed695b0_7    bioconda
bwidget                   1.9.14               ha770c72_0    conda-forge
bx-python                 0.8.11           py37h73d7ac5_0    bioconda
bzip2                     1.0.8                h516909a_3    conda-forge
c-ares                    1.17.1               h7f98852_1    conda-forge
ca-certificates           2021.5.30            ha878542_0    conda-forge
cached-property           1.5.2                hd8ed1ab_1    conda-forge
cached_property           1.5.2              pyha770c72_1    conda-forge
cachetools                4.2.1              pyhd8ed1ab_0    conda-forge
cairo                     1.16.0            h3fc0475_1005    conda-forge
capnproto                 0.6.1                hfc679d8_1    conda-forge
certifi                   2021.5.30        py37h89c1867_0    conda-forge
cffi                      1.14.4           py37h11fe52a_0    conda-forge
chardet                   4.0.0            py37h89c1867_1    conda-forge
circos                    0.69.8                        0    bioconda
clang_variant             1.0                     default    conda-forge
clangdev                  5.0.0             h79c2894_1009    conda-forge
click                     7.1.2              pyh9f0ad1d_0    conda-forge
cmseq                     1.0.2              pyh7b7c402_0    bioconda
configargparse            1.4                pyhd8ed1ab_0    conda-forge
cryptography              3.4.6            py37h5d9358c_0    conda-forge
curl                      7.71.1               he644dc0_6    conda-forge
cycler                    0.10.0                     py_2    conda-forge
